Name,Latitude Degree,Longitude Degree,Local Code
Columbia Metropolitan Airport,33.94,81.12,CAE
Fort Lauderdale Executive Airport,26.2,80.17,FXE
Camarillo Airport,34.21,119.09,CMA
Rick Husband Amarillo International Airport,35.22,101.71,AMA
Akron Canton Regional Airport,40.92,81.44,CAK
Charlottesville Albemarle Airport,38.14,78.45,CHO
Harrisburg International Airport,40.19,76.76,MDT
Kissimmee Gateway Airport,28.29,81.44,ISM
Napa County Airport,38.21,122.28,APC
Billings Logan International Airport,45.81,108.54,BIL
Lovell Field,35.04,85.20,CHA
Buchanan Field,37.99,122.06,CCR
Sedona Airport,34.85,111.79,SEZ
San Luis County Regional Airport,35.24,120.64,SBP
Livermore Municipal Airport,37.69,121.82,LVK
Scottsdale Airport,33.62,111.91,SDL
Mc Clellan-Palomar Airport,33.13,117.28,CRQ
The Eastern Iowa Airport,41.88,91.71,CID
Springfield Branson National Airport,37.25,93.39,SGF
Mahlon Sweet Field,44.12,123.21,EUG
Long Island Mac Arthur Airport,40.8,73.10,ISP
Hilo International Airport,19.72,155.05,ITO
Sacramento Executive Airport,38.51,121.49,SAC
Charles M. Schulz Sonoma County Airport,38.51,122.81,STS
Huntsville International Carl T Jones Field,34.64,86.78,HSV
Asheville Regional Airport,35.44,82.54,AVL
Austin Straubel International Airport,44.49,88.13,GRB
Jackson Hole Airport,43.61,110.74,JAC
Ernest A. Love Field,34.65,112.42,PRC
Palo Alto Airport of Santa Clara County,37.46,122.11,PAO
Watsonville Municipal Airport,36.94,121.79,WVI
Wilkes Barre Scranton International Airport,41.34,75.72,AVP
Laurence G Hanscom Field,42.47,71.29,BED
Orlando Executive Airport,28.55,81.33,ORL
Stewart International Airport,41.5,74.10,SWF
Fairbanks International Airport,64.82,147.86,FAI
Henderson Executive Airport,35.97,115.13,HND
San Carlos Airport,37.51,122.25,SQL
Orlando Sanford International Airport,28.78,81.24,SFB
Mobile Regional Airport,30.69,88.24,MOB
Gainesville Regional Airport,29.69,82.27,GNV
Opa-locka Executive Airport,25.91,80.28,OPF
Naples Municipal Airport,26.15,81.78,APF
Paso Robles Municipal Airport,35.67,120.63,PRB
South Bend Regional Airport,41.71,86.32,SBN
Flagstaff Pulliam Airport,35.14,111.67,FLG
Great Falls International Airport,47.48,111.37,GTF
Fort Wayne International Airport,40.98,85.20,FWA
Myrtle Beach International Airport,33.68,78.93,MYR
Rochester International Airport,43.91,92.50,RST
Lehigh Valley International Airport,40.65,75.44,ABE
Joe Foss Field Airport,43.58,96.74,FSD
Lakeland Linder Regional Airport,27.99,82.02,LAL
Addison Airport,32.97,96.84,ADS
Phoenix Deer Valley Airport,33.69,112.08,DVT
Northeast Florida Regional Airport,29.96,81.34,SGJ
Hector International Airport,46.92,96.82,FAR
Grand Canyon National Park Airport,35.95,112.15,GCN
Pueblo Memorial Airport,38.29,104.50,PUB
Martha's Vineyard Airport,41.39,70.61,MVY
Yuma MCAS/Yuma International Airport,32.66,114.61,NYL
Meadows Field,35.43,119.06,BFL
Snohomish County (Paine Field) Airport,47.91,122.28,PAE
Aspen-Pitkin Co/Sardy Field,39.22,106.87,ASE
Catalina Airport,33.4,118.42,AVX
Big Bear City Airport,34.26,116.86,L35
Nut Tree Airport,38.38,121.96,VCB
Roanoke–Blacksburg Regional Airport,37.33,79.98,ROA
Wilmington International Airport,34.27,77.90,ILM
Lake Tahoe Airport,38.89,120.00,TVL
Falcon Field,33.46,111.73,FFZ
French Valley Airport,33.57,117.13,F70
Gillespie Field,32.83,116.97,SEE
Yeager Airport,38.37,81.59,CRW
Lincoln Airport,40.85,96.76,LNK
Rogue Valley International Medford Airport,42.37,122.87,MFR
Missoula International Airport,46.92,114.09,MSO
Nantucket Memorial Airport,41.25,70.06,ACK
Cincinnati Municipal Airport Lunken Field,39.1,84.42,LUK
Burke Lakefront Airport,41.52,81.68,BKL
Republic Airport,40.73,73.41,FRG
Vero Beach Regional Airport,27.66,80.42,VRB
Friday Harbor Airport,48.52,123.02,FHR
Fullerton Municipal Airport,33.87,117.98,FUL
Hayward Executive Airport,37.66,122.12,HWD
Duluth International Airport,46.84,92.19,DLH
Bishop International Airport,42.97,83.74,FNT
Redding Municipal Airport,40.51,122.29,RDD
Fort Worth Meacham International Airport,32.82,97.36,FTW
Laughlin Bullhead International Airport,35.16,114.56,IFP
Portland Hillsboro Airport,45.54,122.95,HIO
St George Municipal Airport,37.04,113.51,SGU
Columbia Airport,38.03,120.42,O22
Reid-Hillview Airport of Santa Clara County,37.33,121.82,RHV
Gulfport Biloxi International Airport,30.41,89.07,GPT
Jackson-Medgar Wiley Evers International Airport,32.31,90.08,JAN
University of Illinois Willard Airport,40.04,88.28,CMI
Santa Maria Pub/Capt G Allan Hancock Field,34.9,120.46,SMX
Groton New London Airport,41.33,72.05,GON
Phoenix-Mesa-Gateway Airport,33.31,111.65,IWA
Hartford Brainard Airport,41.74,72.65,HFD
Truckee Tahoe Airport,39.32,120.14,TRK
Petaluma Municipal Airport,38.26,122.61,O69
Zamperini Field,33.8,118.34,TOA
"Baton Rouge Metropolitan, Ryan Field",30.53,91.15,BTR
Quad City International Airport,41.45,90.51,MLI
Newport News Williamsburg International Airport,37.13,76.49,PHF
Toledo Express Airport,41.59,83.81,TOL
Bismarck Municipal Airport,46.77,100.75,BIS
Igor I Sikorsky Memorial Airport,41.16,73.13,BDR
Grand Junction Regional Airport,39.12,108.53,GJT
Kalamazoo Battle Creek International Airport,42.23,85.55,AZO
Capital City Airport,42.78,84.59,LAN
The Florida Keys Marathon Airport,24.73,81.05,MTH
Oxnard Airport,34.2,119.21,OXR
Brown Field Municipal Airport,32.57,116.98,SDM
Tracy Municipal Airport,37.69,121.44,TCY
Corpus Christi International Airport,27.77,97.50,CRP
Cheyenne Regional Jerry Olson Field,41.16,104.81,CYS
Midland International Airport,31.94,102.20,MAF
Dutchess County Airport,41.63,73.88,POU
Rocky Mountain Metropolitan Airport,39.91,105.12,BJC
Ogden Hinckley Airport,41.2,112.01,OGD
Harris Ranch Airport,36.25,120.24,3O8
Half Moon Bay Airport,37.51,122.50,HAF
David Wayne Hooks Memorial Airport,30.06,95.55,DWH
Marin County Airport - Gnoss Field,38.14,122.56,DVO
Tri-Cities Regional TN/VA Airport,36.48,82.41,TRI
Barnstable Municipal Boardman Polando Field,41.67,70.28,HYA
Melbourne International Airport,28.1,80.65,MLB
Eagle County Regional Airport,39.64,106.92,EGE
Blythe Airport,33.62,114.72,BLH
Northwest Arkansas Regional Airport,36.28,94.31,XNA
Page Municipal Airport,36.93,111.45,PGA
Red Bluff Municipal Airport,40.15,122.25,RBL
Chino Airport,33.97,117.64,CNO
Lake Havasu City Airport,34.57,114.36,HII
Gallatin Field,45.78,111.15,BZN
Easterwood Field,30.59,96.36,CLL
Elmira Corning Regional Airport,42.16,76.89,ELM
Modesto City Co-Harry Sham Field,37.63,120.95,MOD
Charles B. Wheeler Downtown Airport,39.12,94.59,MKC
Stockton Metropolitan Airport,37.89,121.24,SCK
Riverside Municipal Airport,33.95,117.44,RAL
Ithaca Tompkins Regional Airport,42.49,76.46,ITH
Jacqueline Cochran Regional Airport,33.63,116.16,TRM
Auburn Municipal Airport,38.95,121.08,AUN
Casa Grande Municipal Airport,32.95,111.77,CGZ
Dallas Executive Airport,32.68,96.87,RBD
General Wayne A. Downing Peoria International Airport,40.66,89.69,PIA
Central Illinois Regional Airport at Bloomington-Normal,40.48,88.92,BMI
La Crosse Municipal Airport,43.88,91.26,LSE
Portsmouth International at Pease Airport,43.08,70.82,PSM
Trenton Mercer Airport,40.28,74.81,TTN
Scholes International At Galveston Airport,29.27,94.86,GLS
Kingman Airport,35.26,113.94,IGM
Fulton County Airport Brown Field,33.78,84.52,FTY
Niagara Falls International Airport,43.11,78.95,IAG
Imperial County Airport,32.83,115.58,IPL
Jacksonville Executive at Craig Airport,30.34,81.51,CRG
Dillant Hopkins Airport,42.9,72.27,EEN
Kendall-Tamiami Executive Airport,25.65,80.43,TMB
Appleton International Airport,44.26,88.52,ATW
Essex County Airport,40.88,74.28,CDW
First Flight Airport,36.02,75.67,FFA
Manassas Regional Airport/Harry P. Davis Field,38.72,77.52,HEF
Minden-Tahoe Airport,39,119.75,MEV
Flying Cloud Airport,44.83,93.46,FCM
Wiley Post Airport,35.53,97.65,PWA
Charlotte County Airport,26.92,81.99,PGD
Chicago Rockford International Airport,42.2,89.10,RFD
Evansville Regional Airport,38.04,87.53,EVV
Montgomery Regional (Dannelly Field) Airport,32.3,86.39,MGM
Mc Allen Miller International Airport,26.18,98.24,MFE
Panama City-Bay Co International Airport,30.21,85.68,0
Waco Regional Airport,31.61,97.23,ACT
Lancaster Airport,40.12,76.30,LNS
Worcester Regional Airport,42.27,71.88,ORH
Floyd Bennett Memorial Airport,43.34,73.61,GFL
St Lucie County International Airport,27.5,80.37,FPR
General WM J Fox Airfield,34.74,118.22,WJF
Sacramento Mather Airport,38.55,121.30,MHR
Byron Airport,37.83,121.63,C83
Frederick Municipal Airport,39.42,77.37,FDK
Laconia Municipal Airport,43.57,71.42,LCI
Boire Field,42.78,71.51,ASH
Renton Municipal Airport,47.49,122.22,RNT
Shreveport Regional Airport,32.45,93.83,SHV
Augusta Regional At Bush Field,33.37,81.96,AGS
Casper-Natrona County International Airport,42.91,106.46,CPR
Atlantic City International Airport,39.46,74.58,ACY
Cedar City Regional Airport,37.7,113.10,CDC
Grand Forks International Airport,47.95,97.18,GFK
Williamsport Regional Airport,41.24,76.92,IPT
Abilene Regional Airport,32.41,99.68,ABI
Ohio State University Airport,40.08,83.07,OSU
Castle Airport,37.38,120.57,MER
Cobb County-Mc Collum Field,34.01,84.60,RYY
Norwood Memorial Airport,42.19,71.17,OWD
Fort Smith Regional Airport,35.34,94.37,FSM
San Angelo Regional Mathis Field,31.36,100.50,SJT
Cherry Capital Airport,44.74,85.58,TVC
Tweed New Haven Airport,41.26,72.89,HVN
Coleman A. Young Municipal Airport,42.41,83.01,DET
Salinas Municipal Airport,36.66,121.61,SNS
Morristown Municipal Airport,40.8,74.41,MMU
Mc Clellan Airfield,38.67,121.40,MCC
Malcolm McKinnon Airport,31.15,81.39,SSI
Arlington Municipal Airport,48.16,122.16,AWO
Chandler Municipal Airport,33.27,111.81,CHD
Ocala International Airport - Jim Taylor Field,29.17,82.22,OCF
Placerville Airport,38.72,120.75,PVF
Provincetown Municipal Airport,42.07,70.22,PVC
Ryan Field,32.14,111.18,RYN
Athens Ben Epps Airport,33.95,83.33,AHN
Brownsville South Padre Island International Airport,25.91,97.43,BRO
Helena Regional Airport,46.61,111.98,HLN
Laredo International Airport,27.54,99.46,LRD
Juneau International Airport,58.35,134.58,JNU
Willow Run Airport,42.24,83.53,YIP
Westfield-Barnes Regional Airport,42.16,72.72,BAF
Mc Minnville Municipal Airport,45.19,123.14,MMV
Jack Northrop Field Hawthorne Municipal Airport,33.92,118.33,HHR
Chico Municipal Airport,39.8,121.86,CIC
Hilton Head Airport,32.22,80.70,HXD
Hollister Municipal Airport,36.89,121.41,CVH
Brackett Field,34.09,117.78,POC
Gwinnett County Briscoe Field,33.98,83.96,LZU
San Martin Airport,37.08,121.60,E16
Winter Haven Municipal Airport - Gilbert Field,28.06,81.75,GIF
Greater Binghamton/Edwin A Link field,42.21,75.98,BGM
Fayetteville Regional Grannis Field,34.99,78.88,FAY
Idaho Falls Regional Airport,43.51,112.07,IDA
North Platte Regional Airport Lee Bird Field,41.13,100.68,LBF
Tyler Pounds Regional Airport,32.35,95.40,TYR
Olympia Regional Airport,46.97,122.90,OLM
Oakland County International Airport,42.67,83.42,PTK
Ukiah Municipal Airport,39.13,123.20,UKI
Hancock County-Bar Harbor Airport,44.45,68.36,BHB
Page Field,26.59,81.86,FMY
Sugar Land Regional Airport,29.62,95.66,SGR
Grand Strand Airport,33.81,78.72,CRE
University Park Airport,40.85,77.85,UNV
Block Island State Airport,41.17,71.58,BID
Chicago Executive Airport,42.11,87.90,PWK
El Monte Airport,34.09,118.04,EMT
Fort Collins Loveland Municipal Airport,40.45,105.01,FNL
Hemet Ryan Airport,33.73,117.02,HMT
Lampson Field,38.99,122.90,1O2
Lake County Airport,39.22,106.32,LXV
Oceanside Municipal Airport,33.22,117.35,OKB
Venice Municipal Airport,27.07,82.44,VNC
Visalia Municipal Airport,36.32,119.39,VIS
Sheppard Air Force Base-Wichita Falls Municipal Airport,33.99,98.49,SPS
Cavern City Air Terminal,32.34,104.26,CNM
Chippewa Valley Regional Airport,44.87,91.48,EAU
Valley International Airport,26.23,97.65,HRL
Tri Cities Airport,46.26,119.12,PSC
Bremerton National Airport,47.49,122.76,PWT
Lawrence Municipal Airport,42.72,71.12,LWM
Clermont County Airport,39.08,84.21,I69
Borrego Valley Airport,33.26,116.32,L08
Destin Executive Airport,30.4,86.47,DTS
Southern Wisconsin Regional Airport,42.62,89.04,JVL
Palm Beach County Glades Airport,26.78,80.69,PHK
Flagler County Airport,29.47,81.21,FIN
Rio Vista Municipal Airport,38.19,121.70,O88
Abraham Lincoln Capital Airport,39.84,89.68,SPI
Lafayette Regional Airport,30.21,91.99,LFT
MBS International Airport,43.53,84.08,MBS
Sioux Gateway Col. Bud Day Field,42.4,96.38,SUX
Columbus Metropolitan Airport,32.52,84.94,CSG
Salina Municipal Airport,38.79,97.65,SLN
Elko Regional Airport,40.82,115.79,EKO
Glacier Park International Airport,48.31,114.26,GPI
Sawyer International Airport,46.35,87.40,SAW
Space Coast Regional Airport,28.51,80.80,TIX
Yellowstone Airport,44.69,111.12,WYS
Dupage Airport,41.91,88.25,DPA
Concord Municipal Airport,43.2,71.50,CON
Barstow Daggett Airport,34.85,116.79,DAG
Provo Municipal Airport,40.22,111.72,PVU
Boulder City Municipal Airport,35.95,114.86,BVU
Danbury Municipal Airport,41.37,73.48,DXR
Denton Municipal Airport,33.2,97.20,DTO
Durango La Plata County Airport,37.15,107.75,DRO
Georgetown Municipal Airport,30.68,97.68,GTU
Vance Brand Airport,40.16,105.16,LMO
Mariposa Yosemite Airport,37.51,120.04,MPI
Ramona Airport,33.04,116.92,RNM
Scappoose Industrial Airpark,45.77,122.86,SPB
Witham Field,27.18,80.22,SUA
Tillamook Airport,45.42,123.81,TMK
Williamsburg Jamestown Airport,37.24,76.72,JGG
Willows Glenn County Airport,39.52,122.22,WLW
Columbia Regional Airport,38.82,92.22,COU
Central Nebraska Regional Airport,40.97,98.31,GRI
Memorial Field,34.48,93.10,HOT
Crater Lake-Klamath Regional Airport,42.16,121.73,LMT
Lebanon Municipal Airport,43.63,72.30,LEB
Lynchburg Regional Preston Glenn Field,37.33,79.20,LYH
Minot International Airport,48.26,101.28,MOT
Rickenbacker International Airport,39.81,82.93,LCK
Spirit of St Louis Airport,38.66,90.65,SUS
Allegheny County Airport,40.35,79.93,AGC
St Paul Downtown Holman Field,44.93,93.06,STP
Bowling Green Warren County Regional Airport,36.96,86.42,BWG
Astoria Regional Airport,46.16,123.88,AST
Aurora State Airport,45.25,122.77,UAO
Needles Airport,34.77,114.62,EED
Double Eagle II Airport,35.15,106.79,AEG
Apple Valley Airport,34.58,117.19,APV
Hernando County Airport,28.47,82.46,BKV
Corona Municipal Airport,33.9,117.60,AJO
Orcas Island Airport,48.71,122.91,ORS
Marco Island Airport,26,81.67,MKY
Mojave Airport,35.06,118.15,MHV
North Central State Airport,41.92,71.49,SFZ
Payson Airport,34.26,111.34,PAN
Destin-Ft Walton Beach Airport,30.48,86.53,VPS
Alexandria International Airport,31.33,92.55,AEX
California Redwood Coast-Humboldt County Airport,40.98,124.11,ACV
East Texas Regional Airport,32.38,94.71,GGG
Southwest Oregon Regional Airport,43.42,124.25,OTH
Roswell International Air Center Airport,33.3,104.53,ROW
Conroe-North Houston Regional Airport,30.35,95.41,CXO
Hutchinson Municipal Airport,38.07,97.86,HUT
Tacoma Narrows Airport,47.27,122.58,TIW
Coeur D'Alene - Pappy Boyington Field,47.77,116.82,COE
Greenville Downtown Airport,34.85,82.35,GMU
Merced Regional Macready Field,37.28,120.51,MCE
Northeast Philadelphia Airport,40.08,75.01,PNE
Richard Lloyd Jones Jr Airport,36.04,95.98,RVS
Ann Arbor Municipal Airport,42.22,83.75,ARB
Bend Municipal Airport,44.09,121.20,BDN
Brenham Municipal Airport,30.22,96.37,11R
Skagit Regional Airport,48.47,122.42,BVS
Cameron Park Airport,38.68,120.99,O61
Lincoln Regional Karl Harder Field,38.91,121.35,LHM
Anoka County-Blaine (Janes Field) Airport,45.15,93.21,ANE
Oceano County Airport,35.1,120.62,L52
Dubuque Regional Airport,42.4,90.71,DBQ
Erie International Tom Ridge Field,42.08,80.17,ERI
Monroe Regional Airport,32.51,92.04,MLU
Garden City Regional Airport,37.93,100.72,GCK
Arnold Palmer Regional Airport,40.28,79.40,LBE
Pierre Regional Airport,44.38,100.29,PIR
Reading Regional Carl A Spaatz Field,40.38,75.97,RDG
Roberts Field,44.25,121.15,RDM
Rock Springs Sweetwater County Airport,41.59,109.07,RKS
Fort Worth Alliance Airport,32.99,97.32,AFW
Youngstown Warren Regional Airport,41.26,80.68,YNG
Brainerd Lakes Regional Airport,46.4,94.14,BRD
Findlay Airport,41.01,83.67,FDY
Renner Field-Goodland Municipal Airport,39.37,101.70,GLD
San Bernardino International Airport,34.1,117.24,SBD
San Marcos Regional Airport,29.89,97.86,HYI
Philip Billard Municipal Airport,39.07,95.62,TOP
Cape May County Airport,39.01,74.91,WWD
Arlington Municipal Airport,32.66,97.09,GKY
Boulder Municipal Airport,40.04,105.23,BDU
Crystal River Airport,28.87,82.57,CGC
Furnace Creek Airport,36.46,116.88,L06
Fallbrook Community Airpark,33.35,117.25,L18
Fitchburg Municipal Airport,42.55,71.76,FIT
Fond du Lac County Airport,43.77,88.49,FLD
Nevada County Airport,39.22,121.00,GOO
Columbia County Airport,42.29,73.71,1B1
Canyonlands Field,38.76,109.75,CNY
Hampton Roads Executive Airport,36.78,76.45,PVG
Santa Paula Airport,34.35,119.06,SZP
Gatlinburg-Pigeon Forge Airport,35.86,83.53,GKT
Shelter Cove Airport,40.03,124.07,0Q5
Harvey Field,47.91,122.11,S43
Minute Man Air Field,42.46,71.52,6B6
Barkley Regional Airport,37.06,88.77,PAH
Pellston Regional Airport of Emmet County Airport,45.57,84.80,PLN
William R Fairchild International Airport,48.12,123.50,CLM
Salisbury Ocean City Wicomico Regional Airport,38.34,75.51,SBY
New Castle Airport,39.68,75.61,ILG
Rutland - Southern Vermont Regional Airport,43.53,72.95,RUT
Mobile Downtown Airport,30.63,88.07,BFM
San Luis Valley Regional Bergman Field,37.43,105.87,ALS
Merrill Field,61.21,149.84,MRI
Bryce Canyon Airport,37.71,112.14,BCE
Four Corners Regional Airport,36.74,108.23,FMN
Ellington Airport,29.61,95.16,EFD
Kenosha Regional Airport,42.6,87.93,ENW
Bowman Field,38.23,85.66,LOU
Stinson Municipal Airport,29.34,98.47,SSF
Tonopah Airport,38.06,117.09,TPH
Wendover Airport,40.72,114.03,ENV
Winslow Lindbergh Regional Airport,35.02,110.72,INW
Bakersfield Municipal Airport,35.32,119.00,L45
Boca Raton Airport,26.38,80.11,BCT
George T Lewis Airport,29.14,83.05,CDK
Greeley–Weld County Airport,40.44,104.63,GXY
Yampa Valley Airport,40.48,107.22,HDN
Knoxville Downtown Island Airport,35.96,83.87,DKX
Little River Airport,39.26,123.75,LLR
Whiteman Airport,34.26,118.41,WHP
Montauk Airport,41.08,71.92,MTP
Northampton Airport,42.33,72.61,7B2
New Century Aircenter Airport,38.83,94.89,IXD
Ormond Beach Municipal Airport,29.3,81.11,OMN
Reno-Stead Airport,39.67,119.88,RTS
Sanford Seacoast Regional Airport,43.39,70.71,SFM
Santa Ynez Airport,34.61,120.08,IZA
Albert Whitted Airport,27.77,82.63,SPG
Shenandoah Valley Regional Airport,38.26,78.90,SHD
Westerly State Airport,41.35,71.80,WST
Southwest Georgia Regional Airport,31.54,84.19,ABY
Florence Regional Airport,34.19,79.72,FLO
Manhattan Regional Airport,39.14,96.67,MHK
Key Field,32.33,88.75,MEI
Pocatello Regional Airport,42.91,112.60,PIH
Waterloo Regional Airport,42.56,92.40,ALO
Hickory Regional Airport,35.74,81.39,HKY
Tuscaloosa Regional Airport,33.22,87.61,TCL
Smith Reynolds Airport,36.13,80.22,INT
Mansfield Lahm Regional Airport,40.82,82.52,MFD
Corvallis Municipal Airport,44.5,123.29,CVO
Leesburg International Airport,28.82,81.81,LEE
Central Wisconsin Airport,44.78,89.67,CWA
Pullman Moscow Regional Airport,46.74,117.11,PUW
Ashland Municipal Sumner Parker Field,42.19,122.66,S03
St Louis Downtown Airport,38.57,90.16,CPS
Carson Airport,39.19,119.73,CXP
Cartersville Airport,34.12,84.85,VPC
Charleston Executive Airport,32.7,80.00,JZI
Concord Regional Airport,35.39,80.71,JQF
Front Range Airport,39.79,104.54,FTG
East Hampton Airport,40.96,72.25,HTO
Lee Gilmer Memorial Airport,34.27,83.83,GVL
Jack Edwards Airport,30.29,87.67,JKA
Kerrville Municipal Louis Schreiner Field,29.98,99.09,ERV
Lee's Summit Municipal Airport,38.96,94.37,LXT
Lodi Airport,38.2,121.27,1O3
Los Banos Municipal Airport,37.06,120.87,LSN
Mammoth Yosemite Airport,37.62,118.84,MMH
Dare County Regional Airport,35.92,75.70,MQI
John C Tune Airport,36.18,86.89,JWN
Oroville Municipal Airport,39.49,121.62,OVE
St Clair County International Airport,42.91,82.53,PHN
Southeast Texas Regional Airport,29.95,94.02,BPT
Ketchikan International Airport,55.36,131.71,KTN
Coastal Carolina Regional Airport,35.07,77.04,EWN
Watertown International Airport,43.99,76.02,ART
New Bedford Regional Airport,41.68,70.96,EWB
Rosecrans Memorial Airport,39.77,94.91,STJ
Delaware County Johnson Field,40.24,85.40,MIE
